player_name,rookie_start_season,window_years,age_mean,games_sum,games_started_sum,minutes_sum,points_sum,assists_sum,rebounds_sum,steals_sum,blocks_sum,turnovers_sum,points_per36,assists_per36,rebounds_per36,steals_per36,blocks_per36,turnovers_per36,true_shooting_pct,usage_pct,three_point_pct,defensive_win_shares_cum,offensive_win_shares_cum,win_shares_cum,per_mean,ast_to_ratio,availability_mean,position_mode,minutes_trend,points_trend,minutes_cv,games_cv,primary_label,secondary_label
Courtney Lee,2008,3,24.0,229.0,109.0,80.0,29.2,4.1,8.4,3.0,0.7,2.8,13.14,1.845,3.7800000000000002,1.3499999999999999,0.31499999999999995,1.2599999999999998,0.5295000000000001,0.178,0.3833333333333333,2.4000000000000004,3.4000000000000004,5.800000000000001,12.7,1.4642857142857142,0.9308943089430893,SG,-1.9500000000000057,-0.050000000000001446,0.1907796503823193,0.05383767688182513,生涯波动型,3D角色球员
Craig Smith,2006,1,23.0,82.0,5.0,18.7,7.4,0.6,5.1,0.6,0.2,0.9,14.245989304812834,1.1550802139037435,9.818181818181817,1.1550802139037435,0.3850267379679145,1.7326203208556152,0.558,0.187,0.0,1.7,2.1,3.9,15.7,0.6666666666666666,1.0,PF,,,,,长青稳定型,潜力待定型
Craig Smith,2006,2,23.5,159.0,16.0,38.8,16.8,1.4,9.7,1.1,0.4,2.1,15.587628865979385,1.2989690721649485,9.0,1.020618556701031,0.37113402061855677,1.948453608247423,0.5740000000000001,0.1965,0.0,2.6,4.800000000000001,7.4,16.2,0.6666666666666666,0.9695121951219512,PF,1.4000000000000021,1.9999999999999996,0.03608247422680418,0.031446540880503145,长青稳定型,潜力待定型
Craig Smith,2006,3,24.0,233.0,47.0,58.5,26.9,2.5,13.5,1.5,0.7,3.5,16.553846153846152,1.5384615384615385,8.307692307692308,0.923076923076923,0.43076923076923074,2.1538461538461537,0.5793333333333334,0.19966666666666666,0.0,3.5,7.500000000000001,10.9,16.366666666666664,0.7142857142857143,0.9471544715447154,PF,0.4999999999999965,1.3499999999999985,0.03019405424385593,0.0424871027322389,长青稳定型,潜力待定型
Cristiano Felício,2015,1,23.0,31.0,4.0,10.4,3.4,0.8,3.3,0.2,0.4,0.4,11.76923076923077,2.769230769230769,11.423076923076923,0.6923076923076923,1.3846153846153846,1.3846153846153846,0.601,0.13699999999999998,0.0,0.4,0.7,1.2,17.6,2.0,0.3780487804878049,C,,,,,长青稳定型,潜力待定型
Cristiano Felício,2015,2,23.5,97.0,4.0,26.200000000000003,8.2,1.4,8.0,0.6000000000000001,0.7,0.9,11.267175572519083,1.9236641221374042,10.99236641221374,0.8244274809160306,0.9618320610687021,1.2366412213740456,0.602,0.1305,0.0,1.7000000000000002,2.8,4.6,16.450000000000003,1.5555555555555554,0.5914634146341464,C,5.4,1.399999999999999,0.20610687022900762,0.36082474226804123,长青稳定型,潜力待定型
Cristiano Felício,2015,3,24.0,152.0,20.0,44.0,13.799999999999999,2.4,12.2,0.9000000000000001,0.8999999999999999,1.9,11.29090909090909,1.9636363636363636,9.981818181818182,0.7363636363636364,0.7363636363636362,1.5545454545454547,0.606,0.13233333333333333,0.0,2.2,4.0,6.3,15.133333333333335,1.263157894736842,0.6178861788617888,C,3.699999999999998,1.0999999999999994,0.2131037849042008,0.2884251344313549,长青稳定型,潜力待定型
Cuttino Mobley,1998,1,23.0,49.0,37.0,29.7,9.9,2.5,2.3,0.9,0.5,1.6,12.000000000000002,3.0303030303030303,2.7878787878787876,1.0909090909090908,0.6060606060606061,1.9393939393939394,0.537,0.172,0.358,0.8,1.6,2.3,12.2,1.5625,0.5975609756097561,PG,,,,,长青稳定型,潜力待定型
Cuttino Mobley,1998,2,23.5,130.0,45.0,60.5,25.700000000000003,5.1,5.9,2.0,0.9,3.9,15.292561983471076,3.0347107438016527,3.510743801652893,1.1900826446280992,0.5355371900826447,2.3206611570247935,0.541,0.2055,0.357,2.4000000000000004,5.2,7.5,14.1,1.3076923076923077,0.7926829268292683,PG,1.0999999999999974,5.899999999999997,0.018181818181818205,0.24615384615384617,长青稳定型,潜力待定型
Cuttino Mobley,1998,3,24.0,209.0,94.0,98.5,45.2,7.6,10.9,3.1,1.2,6.0,16.51979695431472,2.777664974619289,3.983756345177665,1.132994923857868,0.4385786802030457,2.1928934010152283,0.541,0.21799999999999997,0.357,4.4,11.4,15.7,15.299999999999999,1.2666666666666666,0.8495934959349594,SG,4.149999999999994,4.799999999999999,0.11210806711452302,0.21009089378086265,长青稳定型,潜力待定型
